영업상태명,소재지면적,소재지우편번호,지번주소,사업장명,좌표정보(X),좌표정보(Y),행정동
영업/정상,8.02,157812,서울특별시 강서구 공항동 60-31 ,LG25시,183211.7113,450672.554,공항동
영업/정상,5.11,157850,서울특별시 강서구 방화동 559-5 ,바이더웨이공항점,183147.7757,452259.1121,방화동
영업/정상,8.55,157842,서울특별시 강서구 등촌동 655-27번지 ,훼미리마트,187146.1253,450413.6462,등촌동
영업/정상,2.2,157-831,서울특별시 강서구 내발산동 699-19 (지상 1층),세븐일레븐(발산점),185332.4742,450055.4159,내발산동
영업/정상,8.59,157-930,서울특별시 강서구 등촌동 683-0 인방빌딩 (지상 1층),세븐일레븐(등촌5호점),185932.0354,451560.5369,등촌동
영업/정상,1.92,157-816,서울특별시 강서구 공항동 1354-6 (지상 1층),세븐일레븐(공항점),183745.1644,450325.3673,공항동
영업/정상,3.3,157-884,서울특별시 강서구 화곡동 377-3 (지상 1층),세븐일레븐(화곡3호),185498.6512,448411.2636,화곡동
영업/정상,2,157-220,서울특별시 강서구 방화동 886-0 김포공항역 (지하 1층),세븐일레븐(S김포공항역점),182524.8238,451438.2509,방화동
영업/정상,1.5,157-925,서울특별시 강서구 화곡동 1075-0 화곡역 (지하 1층),세븐일레븐(S화곡역점),185780.3347,448789.4947,화곡동
영업/정상,6,157-835,서울특별시 강서구 내발산동 723-0 우장산역 (지하 1층),세븐일레븐(S우장산역점),185430.8962,449668.4226,내발산동
영업/정상,4,157-825,서울특별시 강서구 화곡동 662-5 까치산역 (지하 1층),세븐일레븐(S까치산역점),186341.6251,447821.6434,화곡동
영업/정상,6.6,157-220,서울특별시 강서구 방화동 846-0 개화산역 (지하 1층),세븐일레븐(S개화산역점),182770.9344,452243.0276,방화동
영업/정상,16.5,157807,서울특별시 강서구 가양동 1480-5번지 이스타빌1차 104호의 일부(지상1층) ,GS25 가양우성점,186943.8856,451159.5135,가양동
영업/정상,66,157-280,서울특별시 강서구 내발산동 653-0 솔레드림 (지상1층) 113~114호,세븐일레븐 발산신화점,185643.5447,450612.3838,내발산동
영업/정상,6.6,157816,서울특별시 강서구 공항동 1356-10,씨유 공항빌리지점,183902.4102,450319.3509,공항동
영업/정상,6.6,157-220,서울특별시 강서구 방화동 886-0 스카이파크 (지하 1층),세븐일레븐(롯데스카이파크점),182524.8238,451438.2509,방화동
영업/정상,6.6,157925,서울특별시 강서구 화곡동 1086-26번지 ,미니스톱(화곡다솔점)내,185485.3119,448495.1638,화곡동
영업/정상,10,157849,서울특별시 강서구 방화동 498-4번지 1층 ,씨유 개화산역점,182794.4418,452295.4305,방화동
영업/정상,5.5,157910,서울특별시 강서구 화곡동 914-1 105호,씨유 강서스카이점,186290.981,447415.8635,화곡동
영업/정상,3.3,157916,서울특별시 강서구 화곡동 1098-17 ,CU화곡아이파크점,186694.6551,450220.8724,화곡동
영업/정상,3.3,157901,서울특별시 강서구 화곡동 836-2번지 (지상 1층) ,CU화곡곰달래점,187346.8622,447799.8423,화곡동
영업/정상,3.3,157881,"서울특별시 강서구 화곡동 343-66번지 지하층,1동,화곡동오피스텔 B110호",씨유 화곡사거리점,186368.9372,447619.1602,화곡동
영업/정상,7,157210,서울특별시 강서구 마곡동 784-13 (지상1층),씨유 마곡아르디에,185758.0,451264.0,마곡동
영업/정상,7,157-210,서울특별시 강서구 마곡동 793-4 (지상1층),지에스25 마곡엘리안점,185700.6357,451110.3447,마곡동
영업/정상,6.7,157210,서울특별시 강서구 마곡동 784-6번지 마곡대명투웨니퍼스트 (지상 1층) 112~113호,씨유 마곡투웨니점,185808.0,451450.0,마곡동
영업/정상,6.7,157-910,서울특별시 강서구 화곡동 926-1 1층,세븐일레븐 우리동네점,186029.2134,447436.8571,화곡동
영업/정상,6.6,157-921,서울특별시 강서구 화곡동 1031-3 (지상 1층),세븐일레븐 화곡스타점,185676.3672,449124.16,화곡동
영업/정상,3.3,157895,서울특별시 강서구 화곡동 29-52번지 (지상 1층) ,세븐일레븐강서화곡예스점,186448.2025,449314.1814,화곡동
영업/정상,3.3,157857,서울특별시 강서구 방화동 830-3번지 (방화3동) 110~1호,지에스25 방화샤르망,183414.4948,452706.1049,방화동
영업/정상,3.3,157210,서울특별시 강서구 마곡동 795-7번지 열린프라자 (지상 1층) 108호,씨유발산열린점,185593.0,450880.0,마곡동
영업/정상,6.6,157-915,서울특별시 강서구 화곡동 976-9,세븐일레븐 강서화곡한솔점,186609.4993,449561.4954,화곡동
영업/정상,3.3,157838,서울특별시 강서구 등촌동 628-32 강변샤르망2차오피스텔 109호,세븐일레븐,187342.2346,450784.4569,등촌동
영업/정상,6.9,157916,서울특별시 강서구 화곡동 1096 1층,세븐일레븐 강서화곡마을점,186776.1978,450368.0986,화곡동
영업/정상,49,157210,"서울특별시 강서구 마곡동 784-4번지 외 1필지 미르웰플러스오피스텔 115,1호",이마트24 마곡미르웰점,185817.0,451484.0,마곡동
영업/정상,6.6,157840,서울특별시 강서구 등촌동 647-89번지 ,GS25투웨니점,187936.189,450125.9786,등촌동
영업/정상,6.6,157-810,서울특별시 강서구 가양동 1488 106호,세븐일레븐 가양프라자점,187582.8517,451006.6691,가양동
영업/정상,6.6,157-280,서울특별시 강서구 내발산동 674-3 (우장산동),세븐일레븐 강서우장산점,185714.1573,450039.8025,내발산동
영업/정상,6.6,157-840,서울특별시 강서구 등촌동 647-40,세븐일레븐 강서공항대로점,187908.3653,450020.0896,등촌동
영업/정상,6.6,157-030,서울특별시 강서구 등촌동 63-12 어위쉬예다인 104호,세븐일레븐 등촌예다인점,186763.4201,451176.9237,등촌동
영업/정상,6.6,157-852,서울특별시 강서구 방화동 609-29 (방화1동),세븐일레븐 공항시장역점,183342.869,451489.715,방화동
영업/정상,3.3,157846,서울특별시 강서구 방화동 168-38번지 (방화1동) ,세븐일레븐 강서스토리점,183861.6488,452327.8717,방화동
영업/정상,6.6,157-890,서울특별시 강서구 화곡동 421-24 (지상 1층),세븐일레븐 강서화곡삼화점,185751.1726,447769.7522,화곡동
영업/정상,3.3,157-928,서울특별시 강서구 화곡동 1114-21,세븐일레븐 화곡로점,186950.7845,450134.7702,화곡동
영업/정상,3.3,157-904,서울특별시 강서구 화곡동 856-1,세븐일레븐 강서화곡진주점,187021.2596,447574.8118,화곡동
