"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"강서구","(공사중)C231003(A1069)_염창동 280-21","37.5486","126.8712","1","2022-12-01"
"강서구","(교체예정) C181022(SC121) - 마곡중앙5로 마곡중학교 맞은편","37.5670","126.8219","1","2022-12-01"
"강서구","(교체예정) S312010_화곡본동 748-24 화일초등학교 병설유치원","37.5405","126.8480","1","2022-12-01"
"강서구","(교체예정)C181011(SC131) - 마곡중앙로 국제업무단지 CP2앞(보조1)","37.5634","126.8271","1","2022-12-01"
"강서구","(교체예정)C181026(SC106) - 마곡서1로 8단지 공원부지앞 삼거리","37.5651","126.8193","1","2022-12-01"
"강서구","(교체예정)C181046(SC212) - 공항대로 국제업무단지 C6 앞","37.5594","126.8321","1","2022-12-01"
"강서구","(교체예정)P183019(SC공원22) - 공항대로 마곡역 우측 연결녹지22호 내(보조1줌)","37.5602","126.8283","1","2022-12-01"
"강서구","(노후교체예정)I116001_가양동 97-8 (CJ한길자동차 매매단지)","37.5662","126.8450","1","2022-12-01"
"강서구","(대체카메라)C161021_등촌2동 532-8","37.5496","126.8617","1","2022-12-01"
"강서구","(분기점철거)C231014_염창동 279-12(고정1) - 공항대로59다길 방향","37.5490","126.8716","1","2022-12-01"
"강서구","(설치예정)C181007(SC129) - 마곡동 727-709 마곡역 앞(보조1)","37.5601","126.8259","1","2022-12-01"
"강서구","(성능개선교체예정)C161002(A1023)_등촌2동 365-105","37.5508","126.8591","1","2022-12-01"
"강서구","(성능개선교체예정)C161004(A1025)_등촌2동 366-11","37.5488","126.8606","1","2022-12-01"
"강서구","(성능개선교체예정)C281004(A1100)_화곡4동 790-6","37.5302","126.8594","1","2022-12-01"
"강서구","(성능개선교체예정)C291004(A1119)_화곡6동 958-18","37.5492","126.8525","1","2022-12-01"
"강서구","(성능개선교체예정)C311002(A1135)_화곡본동 102-66","37.5394","126.8466","1","2022-12-01"
"강서구","(성능개선교체예정)C311003_화곡본동 105-239","37.5395","126.8430","1","2022-12-01"
"강서구","(성능개선교체예정)C311004(A1137)_화곡본동 105-207","37.5400","126.8446","1","2022-12-01"
"강서구","(성능개선교체예정)C311005(A1138)_화곡본동 24-144","37.5452","126.8466","1","2022-12-01"
"강서구","(성능개선예정)C141010(A1015)_공항동 672-2","37.5561","126.8158","1","2022-12-01"
"강서구","(성능개선예정)C191004(A1038)_발산1동 708-18","37.5509","126.8350","1","2022-12-01"
"강서구","(성능개선예정)C211004(A1061)_방화2동 614-225","37.5655","126.8107","1","2022-12-01"
"강서구","(성능개선예정)C231002(A1068)_염창동 276-9","37.5498","126.8702","1","2022-12-01"
"강서구","(성능개선예정)C261006(A1082)_화곡2동 869-39","37.5322","126.8535","1","2022-12-01"
"강서구","(성능개선예정)I256001_화곡동 1075-12 (화곡역 5번출구)","37.5412","126.8406","1","2022-12-01"
"강서구","(성능개선예정)I276001_화곡로 137 (화곡역 버스정류장 주변)","37.5412","126.8383","1","2022-12-01"
"강서구","(수리예정)C181039(SC117) - 마곡서1로와 공항대로 교차 사거리(교차로1)","37.5602","126.8199","1","2022-12-01"
"강서구","(수리중)C181066(SC215) - 마곡동 727-1021(마곡중앙8로 문화공원2호 앞(교차로1))","37.5614","126.8305","1","2022-12-01"
"강서구","(수리중)C181084(SC236) - 마곡중앙로8로 1길 연결녹지 9호 앞(교차로2)","37.5689","126.8386","1","2022-12-01"
"강서구","(수리중)C231015_염창동 242-13","37.5551","126.8668","1","2022-12-01"
"강서구","(수리중)C301022_화곡8동 408-30(고정1)","37.5368","126.8463","1","2022-12-01"
