"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3150000","3150000-102-1977-00755","19770810","","03","폐업","02","폐업","20050928","","","","02 6945858","153.24","157881","서울특별시 강서구 화곡동 343-31번지 ","","","사랑방","2004-04-12 00:00:00","I","2018-08-31 23:59:59.0","룸살롱","186347.30671455     ","447755.736140167    ","룸살롱","2","2","기타","자율","상수도전용","","","","","","","","","N","153.24","","",""
"3150000","3150000-102-1977-00777","1977-09-17","","01","영업/정상","01","영업","","","","","0226939000","209.78","157-928","서울특별시 강서구 화곡동 1117-15 (지하 1층)","서울특별시 강서구 화곡로 320, 지하 1층 (화곡동, 6동)","07658","애플","2023-06-09 10:40:06","U","2022-12-05 23:01:00.0","카바레","186720.892360205","450028.161482042","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-1978-00750","1978-07-01","","01","영업/정상","01","영업","","","","","02 26057112","88.34","157-909","서울특별시 강서구 화곡동 903-3 (지하 1층)","서울특별시 강서구 강서로 17, 지하 1층 (화곡동, 1동)","07778","샤넬노래바","2024-01-22 10:01:28","U","2023-11-30 22:04:00.0","룸살롱","186473.612061616","447474.632067826","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-1978-00785","19780501","","03","폐업","02","폐업","19980630","","","","0206974142","80.40","157910","서울특별시 강서구 화곡동 938-23번지 ","","","수궁주점","2011-02-08 13:41:29","I","2018-08-31 23:59:59.0","룸살롱","185744.439209715    ","447538.415878275    ","룸살롱","2","3","유흥업소밀집지역","자율","상수도전용","","","","","","","","","N","80.4","","",""
"3150000","3150000-102-1978-00786","19780626","","01","영업/정상","01","영업","","","","","","215.52","157918","서울특별시 강서구 화곡동 1006-10번지 (지하 1층) 1호","서울특별시 강서구 강서로 239, 지하 1층 1호 (화곡동, 3동)","07705","팡팡노래바","2016-08-10 09:35:35","I","2018-08-31 23:59:59.0","룸살롱","185436.074264942    ","449449.262453912    ","룸살롱","","","","","","","","","","","","","","N","215.52","","",""
"3150000","3150000-102-1979-00747","1979-08-26","","01","영업/정상","01","영업","","","","","0226016776","114.64","157-884","서울특별시 강서구 화곡동 372-3 (지하 1층)","서울특별시 강서구 가로공원로76길 6, 지하 1층 (화곡동, 1동)","07761","로망스","2023-08-16 11:43:42","U","2022-12-07 23:08:00.0","룸살롱","185520.50077263","448289.439635183","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-1979-00762","19790602","","01","영업/정상","01","영업","","","","","0226046027","89.84","157918","서울특별시 강서구 화곡동 1006-3 (지하 1층)","서울특별시 강서구 강서로 245, 지하 1층 (화곡동, 3동)","07705","오렌지 노래바","2022-06-10 13:56:08","U","2021-12-05 23:02:00.0","룸살롱","185438.341330245","449492.230136079","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-1979-00775","19790618","","03","폐업","02","폐업","20120102","","","","02 6934868","91.38","157925","서울특별시 강서구 화곡동 1070-8번지 ","","","퀸","2007-07-27 10:02:12","I","2018-08-31 23:59:59.0","룸살롱","185323.854745591    ","448640.215486788    ","룸살롱","0","0","","","","","","","","","","","","N","91.38","","",""
"3150000","3150000-102-1979-08161","19790423","","01","영업/정상","01","영업","","","","","0226062751","96.42","157880","서울특별시 강서구 화곡동 342-55 (지하 1층)","서울특별시 강서구 강서로 34, 지하 1층 (화곡동, 8동)","07760","팡팡노래바","2023-01-02 14:55:54","U","2022-12-01 00:04:00.0","룸살롱","186453.187638488","447642.840238156","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-1980-00726","19800306","","03","폐업","02","폐업","20020909","","","","0206645552","86.70","157827","서울특별시 강서구 내발산동 667-2번지 ","","","까치","2002-09-09 00:00:00","I","2018-08-31 23:59:59.0","카바레","185511.58053415     ","450320.2392051      ","카바레","1","2","기타","자율","상수도전용","","","","","","","","","N","86.7","","",""
"3150000","3150000-102-1980-00754","19800919","","03","폐업","02","폐업","20060426","","","","02","255.94","157909","서울특별시 강서구 화곡동 898-1번지 ","","","1.2.3.나이트","2003-02-07 00:00:00","I","2018-08-31 23:59:59.0","룸살롱","186424.391650186    ","447580.544751681    ","룸살롱","1","2","기타","자율","상수도전용","","","","","","","","","N","255.94","","",""
"3150000","3150000-102-1980-00763","19801016","","01","영업/정상","01","영업","","","","","0226977771","65.89","157928","서울특별시 강서구 화곡동 1116-2번지 (지하 1층) ","서울특별시 강서구 공항대로46길 64, 지하 1층 (화곡동, 6동)","07653","리젠시","2015-03-03 14:12:09","I","2018-08-31 23:59:59.0","카바레","186806.361165707    ","450129.392201516    ","카바레","2","3","기타","자율","상수도전용","","","","","","","","","N","65.89","","",""
"3150000","3150000-102-1980-00772","19800124","","03","폐업","02","폐업","20180228","","","","0236653737","126.49","157864","서울특별시 강서구 염창동 283-14번지 ","서울특별시 강서구 공항대로 647 (염창동)","07557","홀리데인","2018-03-05 09:53:09","I","2018-08-31 23:59:59.0","룸살롱","189036.252426103    ","449460.023284529    ","룸살롱","2","2","기타","자율","상수도전용","","","","","","","","","N","126.49","","",""
"3150000","3150000-102-1980-00802","19800305","","01","영업/정상","01","영업","","","","","0226949090","90.69","157918","서울특별시 강서구 화곡동 1006-9번지 (지하 1층) ","서울특별시 강서구 강서로 243, 지하 1층 (화곡동, 3동)","07705","반쥴","2017-11-16 17:56:45","I","2018-08-31 23:59:59.0","룸살롱","185438.14069848     ","449473.136004543    ","룸살롱","","","","","","","","","","","","","","N","90.69","","",""
"3150000","3150000-102-1983-00787","19830123","","01","영업/정상","01","영업","","","","","0226051160","92.81","157881","서울특별시 강서구 화곡동 346-1 (지하 1층)","서울특별시 강서구 강서로 55, 지하 1층 (화곡동, 1동)","07773","노라조 노래바","2022-06-27 14:41:50","U","2021-12-05 22:09:00.0","룸살롱","186307.285333138","447832.907432673","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-1984-00761","19840702","","03","폐업","02","폐업","19990901","","","","02 6038300","344.84","157928","서울특별시 강서구 화곡동 1116-3번지 ","","","국일관","2001-09-28 00:00:00","I","2018-08-31 23:59:59.0","룸살롱","186780.470195989    ","450119.939314207    ","룸살롱","5","5","기타","기타","상수도전용","","","","","","","","","N","344.84","","",""
"3150000","3150000-102-1984-00779","19840314","","01","영업/정상","01","영업","","","","","0226962223","187.03","157928","서울특별시 강서구 화곡동 1117-16 외 2필지 (지하 1층)","서울특별시 강서구 화곡로 322, 지하 1층 (화곡동, 6동)","07658","타임","2022-12-06 13:59:20","U","2021-11-02 00:08:00.0","카바레","186730.867120442","450042.22378832","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-1984-00784","19840924","","03","폐업","02","폐업","19950321","","","","0206040016","97.58","157922","서울특별시 강서구 화곡동 1032-27번지 ","","","성회관","2001-09-28 00:00:00","I","2018-08-31 23:59:59.0","룸살롱","185580.400233458    ","449111.305358283    ","룸살롱","1","1","기타","자율","상수도전용","","","","","","","","","N","97.58","","",""
