개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3150000,3150000-104-1991-08073,19911226,,03,폐업,02,폐업,20021230,,,,0206998953,66.17,157918,서울특별시 강서구 화곡동 1008-0번지 ,,,미니스톱화곡3호점,2000-06-13 0:00,I,59:59.0,편의점,185210.8676,449521.3548,편의점,1,2,기타,기타,상수도전용,,,,,,,,,N,66.17,,,
3150000,3150000-104-1992-06930,19920110,,03,폐업,02,폐업,19981028,,,,02 6949883,23.5,157870,서울특별시 강서구 화곡동 84-1번지 ,,,미니스톱화곡점,2001-09-28 0:00,I,59:59.0,편의점,186154.1887,449418.0345,편의점,3,3,기타,기타,상수도전용,,,,,,,,,N,23.5,,,
3150000,3150000-104-1993-06931,19930925,,03,폐업,02,폐업,20130723,,,,0206538377,17.65,157863,서울특별시 강서구 염창동 272-9번지 ,,,럭키,2013-07-23 9:37,I,59:59.0,편의점,188182.7894,449782.3289,편의점,2,2,유흥업소밀집지역,자율,상수도전용,,,,,,,,,N,17.65,,,
3150000,3150000-104-1993-06932,19931029,,03,폐업,02,폐업,20100226,,,,0206088570,11.83,157924,서울특별시 강서구 화곡동 1067-18번지 ,서울특별시 강서구 화곡로21길 7 (화곡동),07712,훼미리화곡본동,2014-04-17 13:31,I,59:59.0,편의점,185495.1431,448778.8315,편의점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,11.83,,,
3150000,3150000-104-1993-06933,19931101,,01,영업/정상,01,영업,,,,,0226638913,8.02,157812,서울특별시 강서구 공항동 60-31 ,서울특별시 강서구 송정로 37 (공항동),07627,LG25시,2021-12-28 15:05,U,40:00.0,편의점,183211.7113,450672.554,편의점,0,0,주택가주변,기타,상수도전용,0,0,0,0,0,,0,0,N,8.02,,,
3150000,3150000-104-1993-06934,19931124,,03,폐업,02,폐업,19941017,,,,0206084947,7.66,157901,서울특별시 강서구 화곡동 832-9번지 ,,,동양마트화곡2점,2001-09-28 0:00,I,59:59.0,편의점,187338.7047,447867.5567,편의점,1,1,주택가주변,기타,상수도전용,,,,,,,,,N,7.66,,,
3150000,3150000-104-1993-06955,19930818,,03,폐업,02,폐업,20001128,,,,0206614959,12.48,157833,서울특별시 강서구 내발산동 701-0번지 ,,,웰컴,2000-12-02 0:00,I,59:59.0,편의점,185413.7672,450041.0776,편의점,1,2,주택가주변,기타,상수도전용,,,,,,,,,N,12.48,,,
3150000,3150000-104-1993-06956,19930826,,03,폐업,02,폐업,19951222,,,,02 6017528,10.97,157882,서울특별시 강서구 화곡동 354-65번지 ,,,동양마트(주)화곡점,2001-09-28 0:00,I,59:59.0,편의점,185720.1208,447860.3832,편의점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,10.97,,,
3150000,3150000-104-1993-06957,19930830,,03,폐업,02,폐업,19961228,,,,02 6968630,18.65,157909,서울특별시 강서구 화곡동 901-27번지 ,,,훼미리마트화곡만나점,2001-09-28 0:00,I,59:59.0,편의점,186318.4498,447470.9747,편의점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,18.65,,,
3150000,3150000-104-1993-06958,19930830,,03,폐업,02,폐업,19961129,,,,02 6520567,18.15,157900,서울특별시 강서구 화곡동 829-7번지 ,,,코오롱유통화곡점,2001-09-28 0:00,I,59:59.0,편의점,187448.6002,447926.2191,편의점,1,1,주택가주변,갑,상수도전용,,,,,,,,,N,18.15,,,
