"링크 길이","시군구 코드","시군구명","읍면동 코드","읍면동명","안심벨","cctv","안심귀갓길 안내표지판","안심귀갓길 노면표기","보안등","안심귀갓길 서비스 안내판","112 위치신고 안내판","기타 시설물","안심귀갓길 id","안심귀갓길 명","조성년월","세부위치 설명","비고","데이터기준일자"
"305","1111000000","서울특별시 종로구","1111011000","누하동","4","13","","5","14","","4","","1111011000_04","종로안심04","2015","필운대로5길","","20221109"
"211.25","1111000000","서울특별시 종로구","1111011200","체부동","1","8","","3","7","","3","","1111011200_03","종로안심03","2015","자하문로5길","","20221109"
"481.92","1111000000","서울특별시 종로구","1111014900","원서동","3","5","","5","26","","4","","1111014900_01","종로안심01","2017","창덕궁1가길","","20221110"
"133.55","1111000000","서울특별시 종로구","1111016800","동숭동","2","2","","2","7","","3","","1111016800_04","혜화안심04","2017","동숭4나길","","20221117"
"247.78","1111000000","서울특별시 종로구","1111016900","혜화동","2","2","","6","15","","6","","1111016900_01","혜화안심01","2015","혜화로 6길","","20221117"
"387.53","1111000000","서울특별시 종로구","1111017300","명륜3가","3","7","","8","13","","7","","1111017300_03","혜화안심03","2015","성균관로5길","","20221109"
"506.28","1111000000","서울특별시 종로구","1111017300","명륜3가","2","12","","4","24","","5","","1111017300_07","혜화안심07","2015","명륜길","","20221111"
"206.37","1111000000","서울특별시 종로구","1111017400","창신동","2","2","","3","9","","2","","1111017400_02","혜화안심02","2017","지봉로11길","","20221110"
"394.45","1111000000","서울특별시 종로구","1111017400","창신동","","4","","3","15","","3","","1111017400_06","혜화안심06","2015","창신길","","20221110"
"278.71","1111000000","서울특별시 종로구","1111017400","창신동","4","4","","5","18","","6","","1111017400_08","혜화안심08","2015","창신5길","","20221110"
"354.3","1111000000","서울특별시 종로구","1111017400","창신동","3","6","","3","19","","3","","1111017400_09","혜화안심09","2015","창신11길","","20221111"
"265.36","1111000000","서울특별시 종로구","1111017500","숭인동","3","9","","3","14","","5","","1111017500_05","혜화안심05","2015","종로 63길","","20221109"
"657.38","1111000000","서울특별시 종로구","1111018100","행촌동","8","9","","8","3","","6","","1111018100_02","종로안심02","2017","사직로1길","","20221110"
"328.39","1111000000","서울특별시 종로구","1111018200","구기동","2","2","","4","17","","4","","1111018200_06","종로안심06","2015","진흥로22길","","20221117"
"335.15","1111000000","서울특별시 종로구","1111018600","신영동","4","4","","3","18","","3","","1111018600_05","종로안심05","2015","세검정로7나길","","20221117"
"207.33","1114000000","서울특별시 중구","1114012200","회현동2가","3","8","","3","11","","4","","1114012200_03","남대문안심03","2014","소공로30","","20221027"
"375.4","1114000000","서울특별시 중구","1114012800","남산동1가","3","12","","","13","","6","","1114012800_04","남대문안심04","2014","퇴계로18길","","20221028"
"576.02","1114000000","서울특별시 중구","1114013800","필동2가","4","17","","7","22","","7","","1114013800_01","중부안심01","2014","퇴계로36길","","20221027"
"499.1","1114000000","서울특별시 중구","1114014400","장충동2가","6","7","","4","17","","6","","1114014400_02","중부안심02","2014","동호로25가길","","20221014"
"290.63","1114000000","서울특별시 중구","1114016200","신당동","2","3","","3","1","1","3","","1114016200_03","중부안심03","2015","다산로42길","","20221025"
