연도,시도,발생시도,발생시,발생동,출동건수,이송건수
2019,서울특별시,서울특별시,중구,다동,128,65
2019,서울특별시,서울특별시,중구,정동,200,111
2019,서울특별시,서울특별시,중구,초동,83,48
2019,서울특별시,서울특별시,중구,남창동,288,162
2019,서울특별시,서울특별시,중구,남학동,11,7
2019,서울특별시,서울특별시,중구,무교동,64,35
2019,서울특별시,서울특별시,중구,무학동,112,55
2019,서울특별시,서울특별시,중구,묵정동,59,38
2019,서울특별시,서울특별시,중구,방산동,29,21
2019,서울특별시,서울특별시,중구,북창동,118,61
2019,서울특별시,서울특별시,중구,산림동,45,20
2019,서울특별시,서울특별시,중구,삼각동,32,18
2019,서울특별시,서울특별시,중구,소공동,167,112
2019,서울특별시,서울특별시,중구,수표동,41,23
2019,서울특별시,서울특별시,중구,수하동,35,19
2019,서울특별시,서울특별시,중구,순화동,134,77
2019,서울특별시,서울특별시,중구,신당동,4326,2910
2019,서울특별시,서울특별시,중구,쌍림동,107,64
2019,서울특별시,서울특별시,중구,예관동,37,20
2019,서울특별시,서울특별시,중구,예장동,106,75
2019,서울특별시,서울특별시,중구,오장동,90,44
2019,서울특별시,서울특별시,중구,입정동,31,14
2019,서울특별시,서울특별시,중구,장교동,54,29
2019,서울특별시,서울특별시,중구,주교동,103,50
2019,서울특별시,서울특별시,중구,주자동,10,8
2019,서울특별시,서울특별시,중구,중림동,708,379
2019,서울특별시,서울특별시,중구,황학동,931,570
2019,서울특별시,서울특별시,중구,흥인동,284,155
2019,서울특별시,서울특별시,중구,명동1가,70,43
2019,서울특별시,서울특별시,중구,명동2가,166,90
2019,서울특별시,서울특별시,중구,저동1가,34,15
2019,서울특별시,서울특별시,중구,저동2가,118,53
2019,서울특별시,서울특별시,중구,필동1가,91,47
2019,서울특별시,서울특별시,중구,필동2가,311,170
2019,서울특별시,서울특별시,중구,필동3가,72,43
2019,서울특별시,서울특별시,중구,서소문동,180,100
2019,서울특별시,서울특별시,중구,광희동1가,176,88
2019,서울특별시,서울특별시,중구,광희동2가,126,72
2019,서울특별시,서울특별시,중구,남산동1가,39,23
2019,서울특별시,서울특별시,중구,남산동2가,78,56
2019,서울특별시,서울특별시,중구,남산동3가,41,20
2019,서울특별시,서울특별시,중구,만리동1가,93,56
2019,서울특별시,서울특별시,중구,만리동2가,139,91
2019,서울특별시,서울특별시,중구,봉래동1가,46,23
2019,서울특별시,서울특별시,중구,봉래동2가,1276,481
2019,서울특별시,서울특별시,중구,을지로1가,217,121
2019,서울특별시,서울특별시,중구,을지로2가,200,107
2019,서울특별시,서울특별시,중구,을지로3가,338,142
2019,서울특별시,서울특별시,중구,을지로4가,158,78
2019,서울특별시,서울특별시,중구,을지로5가,148,67
2019,서울특별시,서울특별시,중구,을지로6가,468,247
2019,서울특별시,서울특별시,중구,을지로7가,266,171
2019,서울특별시,서울특별시,중구,의주로1가,49,27
2019,서울특별시,서울특별시,중구,의주로2가,26,8
2019,서울특별시,서울특별시,중구,인현동1가,45,29
2019,서울특별시,서울특별시,중구,인현동2가,61,39
2019,서울특별시,서울특별시,중구,장충동1가,109,69
2019,서울특별시,서울특별시,중구,장충동2가,556,349
2019,서울특별시,서울특별시,중구,충무로1가,193,110
2019,서울특별시,서울특별시,중구,충무로2가,145,88
2019,서울특별시,서울특별시,중구,충무로3가,88,47
2019,서울특별시,서울특별시,중구,충무로4가,159,83
2019,서울특별시,서울특별시,중구,충무로5가,97,53
2019,서울특별시,서울특별시,중구,충정로1가,37,23
2019,서울특별시,서울특별시,중구,태평로1가,199,120
2019,서울특별시,서울특별시,중구,태평로2가,247,121
2019,서울특별시,서울특별시,중구,회현동1가,345,214
2019,서울특별시,서울특별시,중구,회현동2가,86,56
2019,서울특별시,서울특별시,중구,회현동3가,13,6
2019,서울특별시,서울특별시,중구,남대문로1가,52,20
2019,서울특별시,서울특별시,중구,남대문로2가,44,19
2019,서울특별시,서울특별시,중구,남대문로3가,40,23
2019,서울특별시,서울특별시,중구,남대문로4가,112,47
2019,서울특별시,서울특별시,중구,남대문로5가,911,415
2019,서울특별시,서울특별시,강남구,개포동,2042,1374
2019,서울특별시,서울특별시,강남구,논현동,4558,2535
2019,서울특별시,서울특별시,강남구,대치동,3587,2193
2019,서울특별시,서울특별시,강남구,도곡동,1673,1086
