행정구역,거주자_총인구수,거주자_연령구간인구수,여_거주자_총인구수,여_거주자_연령구간인구수,남_거주자_총인구수,남_거주자_연령구간인구수
서울특별시 ,"558,886","558,886","291,260","291,260","267,626","267,626"
 염창동,"41,098","41,098","21,368","21,368","19,730","19,730"
 등촌제1동,"24,836","24,836","13,353","13,353","11,483","11,483"
 등촌제2동,"19,165","19,165","9,852","9,852","9,313","9,313"
 등촌제3동,"29,182","29,182","15,461","15,461","13,721","13,721"
 화곡제1동,"50,328","50,328","25,924","25,924","24,404","24,404"
 화곡제2동,"16,937","16,937","8,811","8,811","8,126","8,126"
 화곡제3동,"20,987","20,987","10,991","10,991","9,996","9,996"
 화곡제4동,"19,494","19,494","9,924","9,924","9,570","9,570"
 화곡본동,"32,763","32,763","16,929","16,929","15,834","15,834"
 화곡제6동,"25,841","25,841","13,501","13,501","12,340","12,340"
 화곡제8동,"23,237","23,237","12,027","12,027","11,210","11,210"
 가양제1동,"33,636","33,636","18,564","18,564","15,072","15,072"
 가양제2동,"13,303","13,303","7,068","7,068","6,235","6,235"
 가양제3동,"13,971","13,971","7,565","7,565","6,406","6,406"
 발산제1동,"35,393","35,393","18,700","18,700","16,693","16,693"
 우장산동,"43,532","43,532","22,753","22,753","20,779","20,779"
 공항동,"29,225","29,225","14,487","14,487","14,738","14,738"
 방화제1동,"41,665","41,665","21,330","21,330","20,335","20,335"
 방화제2동,"22,500","22,500","11,371","11,371","11,129","11,129"
 방화제3동,"21,793","21,793","11,281","11,281","10,512","10,512"
