행정구역,남_거주자_총인구수,남_거주자_연령구간인구수,남_거주자_0~4세,남_거주자_5~9세,남_거주자_10~14세,남_거주자_15~19세,남_거주자_20~24세,남_거주자_25~29세,남_거주자_30~34세,남_거주자_35~39세,남_거주자_40~44세,남_거주자_45~49세,남_거주자_50~54세,남_거주자_55~59세,남_거주자_60~64세,남_거주자_65~69세,남_거주자_70~74세,남_거주자_75~79세,남_거주자_80~84세,남_거주자_85~89세,남_거주자_90~94세,남_거주자_95~99세,남_거주자_100세 이상
서울특별시 ,"267,626","267,626","6,692","8,882","10,510","10,793","13,489","21,904","26,170","21,562","23,132","19,780","21,525","18,524","19,619","17,213","11,710","8,500","4,947","2,005",561,92,16
 염창동,"19,730","19,730",727,"1,011","1,168","1,059","1,074","1,318","1,660","1,650","1,866","1,667","1,712","1,314","1,206",951,623,379,226,89,27,3,0
 등촌제1동,"11,483","11,483",348,290,272,366,572,"1,285","1,726","1,330","1,052",741,785,657,650,516,324,246,159,105,46,5,8
 등촌제2동,"9,313","9,313",220,288,370,416,541,764,911,729,735,619,697,659,758,617,444,306,154,70,13,2,0
 등촌제3동,"13,721","13,721",315,397,381,441,702,886,"1,206","1,070",979,787,948,"1,052","1,395","1,218",810,559,330,169,59,16,1
 화곡제1동,"24,404","24,404",449,525,532,579,"1,133","2,766","3,177","2,242","2,113","1,641","1,818","1,644","1,717","1,485","1,063",839,456,177,41,7,0
 화곡제2동,"8,126","8,126",130,259,329,316,453,683,748,615,698,652,713,590,594,485,368,258,172,54,7,2,0
 화곡제3동,"9,996","9,996",194,310,421,416,522,815,832,669,757,735,773,698,816,768,554,413,210,67,23,3,0
 화곡제4동,"9,570","9,570",179,251,297,345,459,780,852,696,848,696,797,754,783,670,482,366,201,84,28,2,0
 화곡본동,"15,834","15,834",301,426,571,573,824,"1,656","1,912","1,305","1,405","1,163","1,260","1,037","1,046",935,590,454,260,91,20,5,0
 화곡제6동,"12,340","12,340",385,324,335,437,616,"1,247","1,383","1,100","1,025",837,891,853,891,812,551,350,206,76,19,2,0
 화곡제8동,"11,210","11,210",189,256,321,401,588,"1,093","1,127",858,974,859,901,770,800,721,531,448,260,95,14,3,1
 가양제1동,"15,072","15,072",335,347,399,444,676,"1,874","2,486","1,687","1,248",964,"1,076",908,929,783,410,262,156,68,18,1,1
 가양제2동,"6,235","6,235",106,110,89,114,203,374,555,511,403,259,353,420,707,807,546,350,216,82,24,6,0
 가양제3동,"6,406","6,406",206,102,81,125,216,340,716,675,547,390,417,479,563,561,432,296,174,64,19,3,0
 발산제1동,"16,693","16,693",434,742,"1,199","1,171","1,092",975,905,876,"1,380","1,592","1,679","1,220","1,145",798,570,491,280,110,31,2,1
 우장산동,"20,779","20,779",513,997,"1,324","1,330","1,200","1,172","1,263","1,250","1,862","1,919","2,048","1,498","1,345","1,161",814,591,348,109,33,2,0
 공항동,"14,738","14,738",533,841,651,512,688,"1,151","1,285","1,227","1,623","1,144","1,092",966,944,821,493,380,261,95,28,3,0
 방화제1동,"20,335","20,335",613,883,"1,131","1,029","1,004","1,210","1,445","1,375","1,853","1,682","1,804","1,418","1,500","1,340",899,614,345,136,41,13,0
 방화제2동,"11,129","11,129",251,273,306,348,532,898,"1,097",888,860,728,904,846,923,877,559,421,258,121,31,6,2
 방화제3동,"10,512","10,512",264,250,333,371,394,617,884,809,904,705,857,741,907,887,647,477,275,143,39,6,2
