행정구역,여_거주자_총인구수,여_거주자_연령구간인구수,여_거주자_0~4세,여_거주자_5~9세,여_거주자_10~14세,여_거주자_15~19세,여_거주자_20~24세,여_거주자_25~29세,여_거주자_30~34세,여_거주자_35~39세,여_거주자_40~44세,여_거주자_45~49세,여_거주자_50~54세,여_거주자_55~59세,여_거주자_60~64세,여_거주자_65~69세,여_거주자_70~74세,여_거주자_75~79세,여_거주자_80~84세,여_거주자_85~89세,여_거주자_90~94세,여_거주자_95~99세,여_거주자_100세 이상
서울특별시 ,"291,260","291,260","6,458","8,603","9,833","10,403","15,710","27,314","27,125","20,823","22,434","20,246","21,930","20,474","22,602","20,618","13,698","9,819","7,022","4,011","1,628",444,65
 염창동,"21,368","21,368",730,933,"1,096","1,024","1,091","1,770","2,057","1,855","2,002","1,737","1,748","1,358","1,325","1,014",662,400,324,161,64,16,1
 등촌제1동,"13,353","13,353",341,261,235,250,780,"2,032","2,143","1,448",959,725,830,762,740,581,376,295,260,210,93,28,4
 등촌제2동,"9,852","9,852",193,240,284,317,500,878,931,702,708,674,790,812,872,736,508,296,213,124,58,14,2
 등촌제3동,"15,461","15,461",332,359,351,437,642,985,"1,259","1,014",973,840,"1,146","1,273","1,521","1,469",898,683,597,444,180,51,7
 화곡제1동,"25,924","25,924",446,525,488,590,"1,516","3,426","2,827","1,866","1,912","1,567","1,760","1,870","2,018","1,920","1,290",906,572,285,110,25,5
 화곡제2동,"8,811","8,811",153,250,290,330,480,704,660,527,708,664,792,690,735,696,454,334,197,100,34,12,1
 화곡제3동,"10,991","10,991",190,278,329,404,595,"1,029",892,670,791,759,852,818,872,954,621,421,292,147,64,10,3
 화곡제4동,"9,924","9,924",173,190,258,303,457,743,718,632,735,698,854,840,909,867,598,429,300,154,54,12,0
 화곡본동,"16,929","16,929",248,416,492,536,997,"2,007","1,752","1,126","1,273","1,183","1,251","1,212","1,302","1,168",764,550,363,188,80,14,7
 화곡제6동,"13,501","13,501",356,344,281,367,791,"1,681","1,537","1,057",862,813,974,932,"1,087",947,593,376,258,159,67,17,2
 화곡제8동,"12,027","12,027",187,248,326,361,671,"1,161","1,058",683,880,795,957,938,"1,064",975,689,503,330,137,50,12,2
 가양제1동,"18,564","18,564",339,306,365,450,"1,514","3,643","3,111","1,619","1,285",935,"1,077",987,"1,076",766,415,271,200,140,42,18,5
 가양제2동,"7,068","7,068",94,100,95,77,213,509,637,464,391,287,347,484,807,839,573,432,354,238,99,26,2
 가양제3동,"7,565","7,565",209,104,83,105,227,433,853,625,478,371,431,512,719,786,574,436,358,174,61,25,1
 발산제1동,"18,700","18,700",403,693,"1,206","1,260","1,140","1,019",972,986,"1,612","1,763","1,792","1,348","1,295","1,134",746,591,393,208,106,28,5
 우장산동,"22,753","22,753",517,"1,058","1,332","1,417","1,435","1,399","1,254","1,382","2,126","2,244","2,043","1,502","1,464","1,328",986,620,369,179,76,17,5
 공항동,"14,487","14,487",513,869,615,496,705,"1,069","1,122","1,175","1,419",980,"1,041",961,"1,057",850,594,462,299,154,77,27,2
 방화제1동,"21,330","21,330",598,916,"1,109","1,029","1,000","1,250","1,460","1,504","1,754","1,786","1,645","1,543","1,721","1,483",942,697,473,284,102,29,5
 방화제2동,"11,371","11,371",197,252,285,305,565,"1,007",996,769,704,704,782,826,"1,004",998,671,537,422,232,89,26,0
 방화제3동,"11,281","11,281",239,261,313,345,391,569,886,719,862,721,818,806,"1,014","1,107",744,580,448,293,122,37,6
