행정구역,거주자_총인구수,거주자_연령구간인구수,거주자_0~4세,거주자_5~9세,거주자_10~14세,거주자_15~19세,거주자_20~24세,거주자_25~29세,거주자_30~34세,거주자_35~39세,거주자_40~44세,거주자_45~49세,거주자_50~54세,거주자_55~59세,거주자_60~64세,거주자_65~69세,거주자_70~74세,거주자_75~79세,거주자_80~84세,거주자_85~89세,거주자_90~94세,거주자_95~99세,거주자_100세 이상
서울특별시 강서구,"558,886","558,886","13,150","17,485","20,343","21,196","29,199","49,218","53,295","42,385","45,566","40,026","43,455","38,998","42,221","37,831","25,408","18,319","11,969","6,016","2,189",536,81
 염창동,"41,098","41,098","1,457","1,944","2,264","2,083","2,165","3,088","3,717","3,505","3,868","3,404","3,460","2,672","2,531","1,965","1,285",779,550,250,91,19,1
 등촌제1동,"24,836","24,836",689,551,507,616,"1,352","3,317","3,869","2,778","2,011","1,466","1,615","1,419","1,390","1,097",700,541,419,315,139,33,12
 등촌제2동,"19,165","19,165",413,528,654,733,"1,041","1,642","1,842","1,431","1,443","1,293","1,487","1,471","1,630","1,353",952,602,367,194,71,16,2
 등촌제3동,"29,182","29,182",647,756,732,878,"1,344","1,871","2,465","2,084","1,952","1,627","2,094","2,325","2,916","2,687","1,708","1,242",927,613,239,67,8
 화곡제1동,"50,328","50,328",895,"1,050","1,020","1,169","2,649","6,192","6,004","4,108","4,025","3,208","3,578","3,514","3,735","3,405","2,353","1,745","1,028",462,151,32,5
 화곡제2동,"16,937","16,937",283,509,619,646,933,"1,387","1,408","1,142","1,406","1,316","1,505","1,280","1,329","1,181",822,592,369,154,41,14,1
 화곡제3동,"20,987","20,987",384,588,750,820,"1,117","1,844","1,724","1,339","1,548","1,494","1,625","1,516","1,688","1,722","1,175",834,502,214,87,13,3
 화곡제4동,"19,494","19,494",352,441,555,648,916,"1,523","1,570","1,328","1,583","1,394","1,651","1,594","1,692","1,537","1,080",795,501,238,82,14,0
 화곡본동,"32,763","32,763",549,842,"1,063","1,109","1,821","3,663","3,664","2,431","2,678","2,346","2,511","2,249","2,348","2,103","1,354","1,004",623,279,100,19,7
 화곡제6동,"25,841","25,841",741,668,616,804,"1,407","2,928","2,920","2,157","1,887","1,650","1,865","1,785","1,978","1,759","1,144",726,464,235,86,19,2
 화곡제8동,"23,237","23,237",376,504,647,762,"1,259","2,254","2,185","1,541","1,854","1,654","1,858","1,708","1,864","1,696","1,220",951,590,232,64,15,3
 가양제1동,"33,636","33,636",674,653,764,894,"2,190","5,517","5,597","3,306","2,533","1,899","2,153","1,895","2,005","1,549",825,533,356,208,60,19,6
 가양제2동,"13,303","13,303",200,210,184,191,416,883,"1,192",975,794,546,700,904,"1,514","1,646","1,119",782,570,320,123,32,2
 가양제3동,"13,971","13,971",415,206,164,230,443,773,"1,569","1,300","1,025",761,848,991,"1,282","1,347","1,006",732,532,238,80,28,1
 발산제1동,"35,393","35,393",837,"1,435","2,405","2,431","2,232","1,994","1,877","1,862","2,992","3,355","3,471","2,568","2,440","1,932","1,316","1,082",673,318,137,30,6
 우장산동,"43,532","43,532","1,030","2,055","2,656","2,747","2,635","2,571","2,517","2,632","3,988","4,163","4,091","3,000","2,809","2,489","1,800","1,211",717,288,109,19,5
 공항동,"29,225","29,225","1,046","1,710","1,266","1,008","1,393","2,220","2,407","2,402","3,042","2,124","2,133","1,927","2,001","1,671","1,087",842,560,249,105,30,2
 방화제1동,"41,665","41,665","1,211","1,799","2,240","2,058","2,004","2,460","2,905","2,879","3,607","3,468","3,449","2,961","3,221","2,823","1,841","1,311",818,420,143,42,5
 방화제2동,"22,500","22,500",448,525,591,653,"1,097","1,905","2,093","1,657","1,564","1,432","1,686","1,672","1,927","1,875","1,230",958,680,353,120,32,2
 방화제3동,"21,793","21,793",503,511,646,716,785,"1,186","1,770","1,528","1,766","1,426","1,675","1,547","1,921","1,994","1,391","1,057",723,436,161,43,8
