시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
0,11410710,16152.2663,794.8684,473.3192,539.044,283.0873,356.0233,396.952,575.1126,568.3226,870.111,651.4101,527.0262,475.4286,300.1339,645.5687,625.713,368.8408,508.6413,441.2043,421.2924,511.0564,777.1779,747.6143,792.6911,706.0122,698.8345,550.7177,367.3552,1178.708
0,11260520,22678.8414,856.575,426.4089,491.1582,561.3564,788.8185,739.601,892.2616,849.8846,1039.0373,863.4618,1108.4766,768.6318,492.5536,995.6457,708.0721,389.151,535.2418,693.3083,839.7531,836.2266,865.8705,833.1192,862.0984,910.465,1105.7565,889.7181,677.5804,1658.6072
0,11410585,41197.3972,550.1974,172.9446,755.3379,3682.0464,3162.5996,1585.7802,1509.1604,1058.5393,936.4801,894.4846,646.1416,561.3596,420.0384,754.6055,313.2143,157.6531,1923.5623,8033.3041,4602.4875,2067.0246,1456.4267,901.3733,1000.9304,880.9405,797.3483,683.4206,457.2064,1232.7901
0,11410620,27501.4967,823.5935,456.2211,775.1439,799.7054,825.2709,833.8508,1037.99,943.1693,1054.2671,927.1043,1036.5599,941.1254,552.3782,1386.346,777.1723,423.4997,866.5201,1001.4586,949.6988,949.1092,1172.6858,1037.2315,1161.3059,1140.1989,1278.0173,1221.6542,910.6437,2219.5762
0,11410685,25361.2407,596.6012,400.5755,677.2853,863.9028,856,816.3083,992.6578,903.0552,1009.0782,920.5072,924.4583,685.637,538.5885,1163.046,764.8707,466.7719,641.252,1216.4665,1045.6541,960.1045,1031.8892,807.0672,1117.0277,1061.0694,1212.4362,971.0032,732.8371,1985.0883
0,11530760,18799.3471,771.348,339.2512,543.5892,345.0048,613.1677,516.4183,762.2502,745.2745,905.2463,612.3092,752.2996,519.3884,448.8105,1064.4433,750.2793,352.9662,418.879,505.1321,543.8447,556.8714,773.0715,703.4437,741.021,759.1952,823.4949,881.5082,645.2577,1405.5809
0,11350595,45460.6691,1466.3433,723.6095,1441.7328,2326.9962,1881.0258,1330.3383,1802.9222,1528.0113,1709.7241,1418.074,1404.5195,1313.2366,951.953,2024.5256,1527.2077,774.0182,1293.4468,2647.2884,1892.5235,1698.4892,1577.8042,1693.4759,1591.9845,1387.0085,1809.9273,1639.8194,1342.3976,3262.2641
0,11380625,43684.7722,1674.0237,760.0078,1004.6091,1193.611,1429.5145,1359.9557,1531.8644,1640.6015,1840.8384,1648.4964,1581.1778,1230.7332,847.9591,1846.7551,1569.7446,800.5598,1109.3142,1560.3762,1831.1585,1619.1222,2019.549,1793.8752,1806.5639,1810.0525,1992.8223,1634.2958,1197.8641,3349.3317
0,11380600,28590.9996,782.981,498.6629,596.6931,854.2208,909.9148,1006.2906,1189.0985,1186.6723,1294.9851,1062.7238,881.958,801.1577,548.9675,1329.8897,865.778,508.8109,608.0431,1068.2719,1158.0339,1051.8529,1386.4345,1261.5138,1273.5158,1121.7462,1120.4884,1049.1624,869.1551,2303.9772
0,11350695,44513.0852,1570.4559,827.0432,1346.342,1356.5571,1488.5786,1425.03,1870.9388,1478.9212,1801.1305,1542.0465,1532.1149,1160.7529,876.617,1851.5533,1557.016,766.0743,1273.5169,1513.2663,1653.7581,1634.8975,1970.9694,1791.3156,1979.1899,2097.818,2035.3073,1614.9799,1219.2769,3277.6183
0,11380631,26756.8651,738.6917,405.6315,709.7309,761.0569,940.7483,872.8383,1168.8036,1003.5486,1164.3507,919.7148,879.821,793.5068,561.6246,1177.3341,944.9251,458.6639,619.677,914.934,1104.0032,1071.1628,1155.1721,1001.1207,1283.6796,1208.4416,1075.855,1141.5466,789.9546,1890.3267
0,11350665,23513.7803,633.2774,422.4381,614.1473,629.435,649.3199,516.8064,800.5959,708.8894,874.8117,982.1234,1067.5132,847.3623,759.6836,1394.5708,691.2375,438.9395,545.3287,762.6032,611.5327,663.6987,679.4186,961.6599,1032.1325,1138.7738,1070.3073,1106.0145,814.8944,2096.2638
0,11350640,26248.8267,708.0722,483.1278,813.8469,1237.3283,1006.426,743.0557,797.1648,857.5401,980.6932,970.5073,1042.4034,903.6428,576.1897,1251.4421,676.3241,484.6014,979.4791,1228.1463,902.2511,805.2288,913.7376,807.5943,990.7436,1135.2551,1343.5498,1025.6459,718.1899,1866.6396
0,11380520,30172.2905,1138.9696,525.3118,681.7514,660.8617,925.2082,915.4305,1057.2545,1042.5831,1106.0023,1121.3615,1091.0863,934.9221,706.8451,1473.6306,1031.284,457.9089,576.3522,950.7495,1203.0185,1182.5438,1199.0072,1045.9099,1339.4275,1327.7319,1435.1988,1252.9032,993.602,2795.4376
0,11380510,36728.8764,967.5294,482.0941,739.3562,1009.895,1253.6893,1323.5213,1658.2082,1356.1896,1424.072,1311.0147,1242.1095,1115.0878,804.8807,1478.0524,1183.9291,533.2531,749.8527,1221.053,1545.4857,1673.0016,1827.5175,1500.5489,1555.1544,1473.985,1700.9608,1479.2293,1071.5021,3047.7035
0,11380551,17927.7427,413.9604,247.1318,381.9074,637.8478,929.1406,780.8029,696.5084,671.4465,705.1024,617.3799,587.5044,511.15,404.0024,846.0258,361.1877,231.5154,369.2342,840.5246,924.4539,847.1756,727.481,622.8976,606.4929,687.0855,767.0963,626.7364,500.7814,1385.1695
0,11530780,55283.3747,3525.4168,1389.5133,1241.5111,1039.9553,1503.7949,1544.4255,2413.7771,2343.2034,2558.6981,1778.6412,1644.281,1388.9529,961.5845,2230.5544,3429.0828,1351.6549,1504.9879,1466.0405,1731.6604,2103.5591,2727.197,2390.7475,2404.7925,1895.6549,2024.5172,1721.8732,1353.8627,3613.4346
0,11380560,28861.5511,1039.7764,609.6179,858.7951,764.3829,863.8928,876.5466,866.8371,1007.7983,1052.6559,1020.3564,1069.4517,922.2771,581.2928,1469.9916,945.6463,563.2937,763.2302,1069.7267,1098.1607,1007.0361,1121.0716,1138.3073,1246.7557,1246.4614,1379.4164,1149.1051,820.1312,2309.5365
0,11650530,43335.1673,1032.3637,654.5135,1271.1098,1275.0864,1629.4455,1905.0568,2185.6893,1912.9821,2394.8456,2068.4719,1560.9746,1029.6694,797.6705,1587.1236,1108.0718,618.5164,1012.8426,1739.9071,2209.7906,2064.3211,2261.8415,1900.018,1964.7891,1716.5037,1425.1779,1080.226,797.2107,2130.9472
0,11380632,14474.6593,452.865,307.8767,380.4643,337.8982,477.1216,458.7064,533.0149,518.7837,606.861,547.5457,476.2071,447.2418,391.0295,718.686,530.5433,289.1241,310.7724,447.1678,514.2543,607.6975,595.1568,543.5946,572.4824,514.1031,691.8554,643.8879,445.5096,1114.2089
0,11350580,27365.3537,1218.783,490.8669,625.5,639.7875,706.2926,832.9114,1233.7965,1047.3077,1031.9236,893.9803,899.4617,792.9575,697.5865,1402.7781,1150.7993,439.6924,615.6594,784.0879,817.3903,985.0778,1202.8044,1083.4523,1115.7183,1076.0362,1236.1514,1066.2581,917.3849,2360.9074
0,11590651,13009.483,460.8449,214.0591,335.8977,334.7613,508.0531,506.357,569.5885,524.783,598.2005,459.2393,404.7076,362.5384,240.457,608.1465,483.1838,208.0508,257.8841,466.604,554.5075,608.1308,671.6738,509.4167,569.3769,417.4562,488.3176,440.6267,365.5173,841.1046
0,11350670,18699.1453,478.9025,332.745,534.8285,572.0334,554.973,462.5834,626.6632,611.6228,703.6264,717.0014,784.5134,672.5235,450.7581,1015.1145,544.8938,351.7578,525.9102,621.5944,582.0741,488.2934,669.4413,510.0892,770.4685,870.1253,942.5394,787.2506,627.465,1889.3546
0,11650531,33712.5787,1563.7869,1132.5306,1376.5324,1147.3182,1101.3015,998.0602,1356.5179,1608.1322,2048.2953,1444.9469,1110.2514,678.408,505.2866,1127.5823,1408.4843,956.8832,1127.742,1228.2483,1062.8846,862.21,1276.0853,1731.1803,1650.9306,1270.0858,973.3192,725.0504,608.5539,1631.9703
0,11650610,18758.348,623.1423,327.7832,461.9932,504.5012,674.06,731.1685,769.3808,726.3515,803.4577,587.1239,602.5976,489.203,382.6555,764.9481,733.6033,410.8189,464.8413,584.198,794.0982,842.2962,768.4805,732.9982,792.7284,768.3301,779.1585,647.0515,529.9589,1461.4189
0,11680565,29933.6622,1140.5684,544.7225,602.0343,835.3075,929.7222,964.1715,1541.8175,1656.4275,1583.8081,1354.5637,1076.1045,796.4886,483.4207,955.0955,938.9169,449.4555,595.3061,953.0171,1171.4774,1269.3164,1675.0982,1653.7175,1583.0959,1166.7671,1106.3033,804.8168,683.1016,1419.0192
0,11650600,15674.7933,652.204,273.5046,464.5314,410.9204,513.817,562.0915,701.5004,592.2108,714.7639,564.8334,493.3253,328.9507,294.2716,673.3966,631.9699,276.9866,432.9515,531.0715,589.071,693.0761,936.4741,610.2355,769.0074,554.562,549.2453,408.2276,348.3618,1103.2321
0,11650620,22575.4194,759.6013,463.3974,754.3825,713.5539,682.205,608.7885,853.8246,838.143,940.6458,988.7816,802.8365,599.4701,488.8912,1064.4519,854.0327,475.9619,577.2006,805.6043,755.4937,784.8584,995.1794,900.6597,1093.8172,897.3528,873.0919,801.6914,598.3176,1603.1839
0,11650590,18176.5403,561.8134,461.2211,731.223,323.3915,429.659,434.0138,547.506,727.1344,1020.994,768.9568,543.5376,401.2033,311.0399,841.8853,758.1952,609.2956,824.418,569.5228,492.9016,479.9975,723.1666,872.7115,1163.5821,857.2947,602.0466,499.9712,469.0109,1150.8463
0,11650581,34143.2315,2032.0473,1157.6506,1304.6682,581.2466,619.1078,723.3975,1178.4863,1527.3563,1910.4492,1452.6418,1162.7487,713.0259,619.079,1277.9943,1739.8161,1003.667,1138.4994,796.5381,817.8996,802.2201,1489.6246,1871.2881,1933.3748,1310.0436,1094.2619,868.0821,890.4166,2127.6004
0,11650621,25776.4425,1023.118,673.0772,831.2968,560.0795,768.6945,691.3737,927.1486,894.9349,1243.9662,883.9273,836.9262,700.2675,437.465,962.3689,1050.4137,731.8887,891.0458,767.6643,938.8284,1011.022,1212.6682,1251.9804,1416.9714,1026.9177,1036.6462,781.4204,611.0612,1613.27
0,11590650,15982.3545,511.0997,199.7647,330.3687,378.4648,796.4772,691.5269,842.3586,613.248,597.7719,479.6937,535.0012,408.4005,290.031,614.816,446.8726,170.4663,326.309,636.7289,906.8905,836.2923,655.7322,659.2744,620.4308,516.6909,617.9441,581.38,502.9692,1215.3499
0,11230545,29823.7019,793.0156,378.9347,875.9578,1877.0018,1598.912,937.5481,1026.9374,880.4011,1050.5203,1054.2605,1055.1458,919.9772,632.6196,1558.815,598.5143,318.1368,901.3545,2456.9618,1425.8769,868.8592,963.4845,763.1386,967.4003,909.1746,970.0686,910.0641,826.6218,2303.9982
0,11650550,2557.1208,62.4466,84.2747,70.1598,339.5515,111.0436,54.4381,99.3735,87.7392,187.166,117.0578,59.1144,64.0489,36.2916,59.9796,68.7906,95.9823,94.8233,54.5107,68.4799,54.8501,100.173,82.1503,148.644,71.2974,75.593,64.226,37.6308,107.2838
0,11110650,26456.0467,489.3859,372.0659,848.9182,2220.2832,1577.3242,855.6226,730.9614,727.3685,798.0601,810.6617,722.8919,523.9237,367.5709,772.496,603.4654,393.7987,956.7599,3520.8111,1635.5105,855.6565,768.7264,777.2002,927.5192,950.4748,717.6144,640.7601,450.5577,1439.6592
0,11740530,27163.3682,942.7811,719.8071,993.3525,645.6428,641.0937,666.1228,1058.1597,1074.3551,1198.1366,987.5586,896.3597,722.2032,646.8957,1258.02,1001.1942,667.8634,702.3765,774.5816,680.224,784.0001,1236.0505,1402.3883,1342.5105,1159.2053,1005.9257,1020.9861,933.831,2001.7423
0,11740515,59652.4509,2917.7242,1790.6962,2045.6669,1231.68,1320.5296,1362.1437,2722.3305,2802.0731,2817.0251,1959.2188,1746.4927,1387.5797,1105.7114,2520.2693,3182.3505,1785.0995,1849.0523,1491.18,1553.5887,1791.4427,3031.1685,3005.7106,2773.67,2094.0143,1909.238,1788.5051,1599.6759,4068.6144
0,11110700,6754.7832,92.7029,43.9351,122.7422,206.201,247.892,263.9602,328.9615,262.6329,284.1863,290.9911,309.7076,213.7365,180.4664,308.2209,140.3115,71.6486,114.1225,334.6945,297.4666,290.522,322.612,247.0632,232.0249,286.2349,283.89,288.1851,180.1222,509.5484
0,11110615,27428.8585,635.7115,200.2929,499.1596,1246.8401,1593.1155,1623.1442,1645.9973,1618.2162,1675.2988,1456.1462,1401.4875,864.3516,614.4671,973.7546,488.8555,239.7267,417.7916,1361.5993,1264.6617,955.6103,1032.1965,995.8614,1009.2478,754.0408,677.0754,537.6823,419.9136,1226.6123
0,11110630,8607.0578,75.4902,57.4624,150.0846,270.6251,451.6807,323.8238,433.6233,352.4308,341.3017,410.0139,445.2476,334.1082,210.6783,400.8179,79.858,83.488,128.328,480.4918,465.0717,337.17,304.7979,277.8013,235.6558,362.267,343.6027,360.7837,195.8752,694.4785
0,11530770,17812.6968,525.7623,218.6931,312.0916,538.353,828.9839,853.5995,894.4346,699.1067,697.1365,635.4957,650.113,419.4107,369.8843,825.3377,557.1675,218.3283,327.599,801.1367,1099.1391,999.4019,889.5187,595.42,601.8527,647.8332,628.249,574.9056,424.0722,979.6697
0,11230536,38542.6995,828.6875,380.0534,620.5125,1564.4084,2038.5574,1613.2229,1834.5895,1487.7501,1650.2862,1538.8598,1479.6081,1090.6147,909.6613,1566.4986,914.679,392.0059,670.8877,2361.5973,2157.0109,1722.2922,1813.9924,1368.8223,1460.3607,1329.2288,1233.3999,1164.3526,833.0824,2517.6776
0,11110690,6984.1263,192.3469,100.3222,148.102,211.443,205.7561,173.0094,298.2998,289.3978,276.202,291.6106,279.0894,259.6132,180.432,323.3278,242.1256,157.4893,182.1435,230.6106,268.6298,281.2986,294.2767,279.4488,280.2775,292.863,352.4905,268.0851,204.3499,421.0857
0,11650510,26819.0018,913.7923,513.0583,886.5544,797.7276,876.7872,930.3812,1159.9271,1227.9109,1577.5558,1069.1437,890.2915,590.9646,436.4657,1164.3054,1256.5079,625.4118,831.0208,942.5484,877.5287,922.4098,1276.4961,1104.7355,1391.0621,849.6666,840.3583,659.0931,557.8915,1649.4046
0,11110570,6861.82,217.1218,138.8565,187.222,227.4137,163.4918,187.8005,203.8929,199.031,270.2861,276.1597,251.8647,218.2755,147.7173,367.4095,299.6447,189.4124,281.537,232.2368,183.68,181.6739,227.8763,295.9045,339.231,327.7246,253.3038,264.6714,242.7443,485.6363
0,11110540,3370.4287,45.0203,34.4962,101.832,287.2695,92.6792,103.7656,160.7228,159.1245,119.0922,137.1138,127.8957,90.9668,72.5617,182.9905,94.3193,57.9389,43.5761,78.876,92.0193,103.0824,83.1737,179.1053,163.3787,97.5128,133.9495,111.9613,112.2363,303.7678
0,11110560,18688.8453,549.6494,397.5794,532.4418,555.9641,421.4061,363.7393,543.5458,567.815,722.2276,686.7959,717.0798,665.3812,466.7171,963.4844,764.2811,446.5461,563.3896,492.0991,433.6309,437.57,701.816,714.3588,800.3486,863.1173,1060.9283,856.8236,675.369,1724.7405
0,11110710,12954.2131,244.5695,122.2847,188.4275,502.6981,677.2389,597.067,545.4522,440.7598,505.9649,524.9393,486.0758,359.7676,318.1027,528.7367,164.6759,68.4608,241.78,887.1019,1031.4506,611.6842,581.1762,442.9065,446.9791,443.664,530.3893,386.7899,286.9654,788.1046
0,11140520,7600.2396,572.2031,83.2295,56.4073,209.1471,318.5652,397.9806,441.1348,692.2598,583.2043,388.4792,263.3226,197.434,140.0107,186.9129,92.5692,45.2327,99.2171,253.7266,314.0589,276.2268,459.1173,361.2592,354.0907,203.8113,196.3463,140.3067,105.2526,168.733
